,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
93,Residence,9.9,659,Malostranské nám. 261/10,cz,Prague 1,4,1.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/102397071.jpg?k=45ec361bae87b59ce4ffb334da84e9f1cd03d50b7398ab3c72a925ec91c90881&o=
94,Hotel,9.5,5093,Rybna 10,cz,Prague 1,4,0.4,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/134146150.jpg?k=b88e20b1cbe4686f08539cd8709d29d7619ddadffd79e894f9f6d317173cad6a&o=
95,Apartment,9.3,808,4 Petrská,cz,Prague 1,4,0.9,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/421850212.jpg?k=837ddad814064cc3f6bf4d4a863e79693c4d00b1b994f07d2d52d83b5170de25&o=
96,Apartment,9.5,272,10 Maltézské náměstí Lesser Town - Prague 1,cz,Prague 1,3,1.1,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/223758701.jpg?k=0485e519d18d381dafa7158938c65f600d77aa681fac4b38429c271b8696050e&o=
97,Hotel,0.0,2209,Otakarova 3,cz,Prague 4,3,2.7,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/143079581.jpg?k=5b0bd727a592d63bc42a358a0a8d2705661315c9472a44dbeecebb6c38d00cd9&o=
98,Hotel,0.0,2560,Opatovicka 16,cz,Prague 1,3,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/248161854.jpg?k=1a622cef76aa36d49cfc0af4127c2066b59fcb689eec0565ddcd646770da498a&o=
99,Apartment,9.4,21,10 Příčná,cz,Prague 1,3,0.001,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/170645018.jpg?k=dafd7d504da719055ce594a50418c15bd587eb25f99e682bd2f30aaa3c95439f&o=
100,Hotel,0.0,5719,José Martího 2/407,cz,Prague 6,3,5.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/253290420.jpg?k=4508af577c36b7d9df3b31b98330caec915daea755570a1b26bcd7bb786c8f8f&o=
101,Apartment,9.7,355,Purkyňova 2053/9,cz,Prague 1,3,0.7,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/88173695.jpg?k=fba632063951fb057cf4f3bedf25455911cf4d067fc9df0cd84e4647ea42d6b0&o=
102,Hotel,9.8,6057,U Obecniho Domu 3,cz,Prague 1,5,0.5,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/371938375.jpg?k=8f6374e127872a66cecbdbfdff0ade2861307aea306810a5dabd12133c2b9809&o=
103,other,9.6,171,10 Tržiště,cz,Prague 1,3,1.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/78152696.jpg?k=f1a92dad334a31b853277f53cd094ced4717b9666ceb2e33435f9ed53b967f14&o=
104,other,0.0,0,56 Olgy Havlové,cz,Prague 3,3,4.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/405821682.jpg?k=1cb11f76e15f741faee5e6b115a2bef1d8b62972ace9a88dd9cad92f21946c2f&o=
105,other,10.0,116,1 Jilská 449,cz,Prague 1,3,0.25,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/110209969.jpg?k=ea032ce1affb34e4a2cf2f81a470f7f67d92bd7336568499af05a876ef657e0d&o=
106,Apartment,9.9,79,"Dlouhá 39, Staré město",cz,Prague 1,4,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/243529849.jpg?k=ba61f8e33a31b5bb37cd5829fb8268480b3df4cfa9f50a0447643b52bf751115&o=
107,Hotel,0.0,922,Tyršova 2,cz,Prague 2,4,1.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/397077087.jpg?k=29760be35a8c27c3dc654a63ac5bfe492e33188216f745577178d3efc788da12&o=
108,Hotel,9.3,215,Karla Engliše 2,cz,Prague 5,3,2.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/30544287.jpg?k=48261a0e31cb9ecb5c7dde8e9720d96646f3f6538437e7c78357c34233935e04&o=
109,Apartment,9.7,404,Retezova 3,cz,Prague 1,4,0.35,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/421852968.jpg?k=2b11c50ea80ba1b145e4508a7dabdec6ae4ba041cd3f3e43c4a5f49a059109c6&o=
110,Hotel,0.0,4909,Radlicka 3216/1g,cz,Prague 5,4,2.3,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/402855205.jpg?k=64cff259e6fd85004c52f6feff77c8a432f45b5cfe25be9a8c5d1f25899fe5d9&o=
111,Apartment,9.8,418,Senovážná 6,cz,Prague 1,4,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/223428103.jpg?k=6b620e8edc89fe69867c857afe561e8e38b06e3b7f8c66f3f1cdd2e10045f16f&o=
