,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
226,other,0.0,2,4 Heřmanova,cz,Prague 7,0,1.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/415879618.jpg?k=b0fe3f51dc2ffe65f99de06b1e16213481cbb976752f3d213406b927caa91ff8&o=
227,Apartment,0.0,5,108 Korunní,cz,"Vinohrady, Prague",3,0.003,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/193597185.jpg?k=d7e5da15234b4d6b243528a253b25c4c516c4e905f62273bc68ecefd8241de29&o=
228,Apartment,0.0,72,7 Štítného,cz,Prague 3,3,0.002,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/162725914.jpg?k=c782b7b4e47bcef78210a88f64cbd346d7e380818e163107a53f272de142059d&o=
229,Apartment,10.0,25,Anenská,cz,Prague 1,3,0.45,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/333048038.jpg?k=c9025c955bc57111d08a74e5b2889b31febb3636932bf314ccb1a65290843b58&o=
230,Apartment,9.7,70,1892 Příčná,cz,Prague 1,3,0.001,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/252316632.jpg?k=0ddfeffe7b227f8222c538a8989c90eeba5f3ebb5d701c95f3a5b512197e247b&o=
231,Hotel,0.0,3869,"Praha, Rostislavova 253/17",cz,Prague 4,3,3.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/370775878.jpg?k=bb18bf9d4ebe7748f162f823acb13f5bb394a7d2b7736f870e55f2b53ad9223e&o=
232,other,9.5,22,1278 náměstí 14. října,cz,Prague 5,3,1.8,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/338225113.jpg?k=dd5068bdf97b507796552b9b375cddd887b6f01d80337d3343c52b4e74e24cbf&o=
233,other,0.0,3,"Příčná 4, číslo bytu 406",cz,Prague 1,0,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/269826429.jpg?k=31058d4150d35e87da51fa60fedd8f8f2f5cd6ba20d7b3af5ce5d31d4803118f&o=
234,Apartment,0.0,0,99 Holečkova,cz,Prague 5,0,2.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/421421294.jpg?k=c2d248f0d2148161b3add892c678054f47605a8cb5ef2b5c84efb29006222107&o=
235,Apartment,9.9,105,3 Mostecká,cz,Prague 1,4,0.001,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/252250938.jpg?k=674eba97f37eebaa55d3657ebfe3c891f641e89cfd45b90c23736225aef876ef&o=
236,other,9.3,73,"V.P.Čkalova 22 byt 160, 3.patro",cz,Prague 6,3,2.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/114149993.jpg?k=06d50ae024e29dd0ce18127b6ae48aa27cc9d41c5700d42d9dc3d623e25170c9&o=
237,Apartment,9.5,96,U Mlýnského Kanálu 2a/4,cz,Prague 8,4,2.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/241467484.jpg?k=964267e5276dbbd6454519ff04fb41c0d6025d8bafc775104792a92d13901fae&o=
238,Apartment,9.4,163,Krakovská 15,cz,Prague 1,3,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/215878552.jpg?k=fdfd46902f2322ece3c84763d76995d4c9b76f5c5b83540a1eda97c1d7bf4dce&o=
239,other,9.9,55,28 Vlašská,cz,Prague 1,4,1.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/147239975.jpg?k=92c7e7bcedc7f4385d8ed33077fd9732904eb2c0d724493c186a62ed57e82a5e&o=
240,Residence,10.0,604,Mostecká 12/49,cz,Prague 1,3,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/43700932.jpg?k=84eed69daa897fe266386c79c76d7cf123e44382786a71eb92ac61665541d8c8&o=
241,other,0.0,0,11 Voráčovská,cz,Prague 4,0,3.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/417064317.jpg?k=cfbb4e3de35475642124bf797dc7fd74af816911d740d2c70cba4c9bab4b3317&o=
242,Apartment,9.9,240,Betlemske Namesti 254/3,cz,Prague 1,4,0.45,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/368335129.jpg?k=0d27ba53fc8dac4b340b6ae6b962b01bc4c1dbeafc36e44f1909238f5042d47d&o=
243,Apartment,0.0,16,Španělská 759/4,cz,Prague 2,0,1.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/335562721.jpg?k=d494af5d3fdab1687a5e365948241b09d0c54c4bad3384a8e7c8b447cd7d9d44&o=
244,other,0.0,14,49 Koněvova,cz,Prague 3,4,2.8,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/319568900.jpg?k=f2fea7a2bfd8538506e5f21680be0f15893f2862f75b9adac720e40d2a569374&o=
245,Apartment,9.4,17,Na Bělidle 31,cz,Prague 5,4,2.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/413092043.jpg?k=75369c611e541ad8e1390a81024f858c2a6ebe37a675787ed22e664cc2823330&o=
246,Apartment,0.0,0,665 Víta Nejedlého,cz,Prague 3,3,2.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/383282873.jpg?k=7f2292879e2a2bf6f671306627901c5553b8a3d7118ff27d7221f25165247e68&o=
247,Apartment,10.0,1,Drahobejlova,cz,Prague 9,3,5.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/412733708.jpg?k=6a6de6c2c5cd3f8f0714cfb165acade524e969e1efea433f5dd11c0b95cd71b4&o=
248,Apartment,0.0,1,48 Klimentska,cz,Prague 1,3,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/360175341.jpg?k=0a3dd425560174784d124baed9ea6fc7262f9eb66bcc1a16f25a83a2bf8b5268&o=
249,Apartment,9.5,85,9 Bozděchova,cz,Prague 5,3,2.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/301215877.jpg?k=2489aa681995dec5bde6f8b4abd5664148e7fd9eb83bc45ecb3ce1c79286b661&o=
250,Apartment,10.0,1,9 Mezibranská,cz,Prague 1,0,1.2,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/397608598.jpg?k=1c18e7d3ce83044ce82f5ab046375c274cedb454b5f2f443c0ce0c290f8c47b5&o=
251,Apartment,9.5,5,1 Krakovská,cz,Prague 1,0,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/387647817.jpg?k=83faa112d5becbbb4266affd7e9697e60106c3e0110089ad3659fe1bf5fd3754&o=
252,Apartment,10.0,2,9 Krásova,cz,Prague 3,0,0.002,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/403594261.jpg?k=d622fa3d4f65fec92e3276d8cdb433ae12bb9d2e56fa0356fe9bbf8ecdf10fed&o=
253,Apartment,0.0,25,Malá Štěpánská Malá Štěpánská 1928/11,cz,Prague 2,3,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/142633214.jpg?k=74e0b3cc8d9b39c9d037f55fda483c921ce2a3e0d6814f414bde3a5f06242c34&o=
254,Apartment,0.0,9,17 Průběžná,cz,Prague,3,5.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/386951105.jpg?k=54c77826c15bf71de02ecd03158cf47ae019a58c683ee17178996996dbe24307&o=
255,Apartment,0.0,69,Lukášova 2,cz,Prague 3,3,2.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/243142101.jpg?k=a8ab7072ef73030c0d66e309e3cf38f039fd8011a42761e1a4bcc46c791bd2d3&o=
256,Apartment,9.7,64,Havelska 10 2nd floor,cz,Prague 1,3,0.25,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/73092853.jpg?k=23d628c7dd81987cbc028190b05bbd2e7f2e73c6f7ca07f38a11b8a532a659ab&o=
257,other,9.4,4,20 Neklanova,cz,Prague 2,0,2.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/374702663.jpg?k=83b329cc43ba54c1edbf958797abed7a6fd58b90fd23458673bc84e071247581&o=
258,Apartment,9.3,72,6 Ve Smečkách,cz,Prague 1,3,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/287920973.jpg?k=288aae4a24fdd3ff9ff70bd0438cced6da9bb5f73f355391867298ab47c3d0eb&o=
260,other,9.7,17,100 Sokolovská,cz,Prague 8,4,2.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/315924182.jpg?k=b572041126c9ad4ad998fe18cd11b0687cd17456cb2bdc0d9c7350fcbd690177&o=
261,other,0.0,1606,Katerinska 38,cz,Prague 2,4,1.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/278005275.jpg?k=83c2e3494d142dedabc153533bbd4743b404fe8f064a2a8c853b4937bb960195&o=
262,Apartment,0.0,9,15 Zbraslavská 2. patro,cz,Prague 5,3,7.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/416388946.jpg?k=6e1ce851e3d5131c4f07747bad94eaac1887588c7d596f580d648e40219b1ac2&o=
264,other,0.0,26,Rybna 24,cz,Prague 1,4,0.5,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/58031838.jpg?k=e27b4d46188767d90542014acdac41346722fe4398f0ad0c131f155d8a41b058&o=
265,other,0.0,39,1 Levského 73,cz,Prague,3,9.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/190379174.jpg?k=330b3177ef4425b0ae4aecb4a03073fa2e5739b611823be6f0e60bcf1404d8d8&o=
266,other,9.7,183,Nerudova 36,cz,Prague 1,3,1.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/255121280.jpg?k=606b2cf9aa20ba4c62af339c3ae8799cc2442a6387bb42b76e0092caf5bf65d3&o=
267,Hotel,0.0,3858,Prvního pluku 29,cz,Prague 8,3,1.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/411720035.jpg?k=3bcd88833fa70cc9a96862d0677bced29a7237dc067b77b7ce7738415f2ac132&o=
268,Apartment,9.7,35,Vodičkova 729/11,cz,Prague 1,3,0.8,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/65542407.jpg?k=bf9569a1b9f3b8be4ead619b8f14b60f7c9dffe4d21cd516bab3371e42c3dc79&o=
270,Apartment,10.0,1,19 Nekázanka,cz,Prague 1,3,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/407840541.jpg?k=0a79a46a91b35eb856239f63bb0ed250a332e249d949874a67b0a92e2922eec3&o=
271,other,0.0,32,41 Radlická 1º,cz,Prague 5,3,3.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/277647145.jpg?k=a305558f1246e87c139f0833c9cdbd5f0195bfaabc11d058be3e20c229d1e90c&o=
273,other,0.0,98,"Pod Barvířkou 3348 / 11 Byt č. 503, 5. patro",cz,Prague 5,3,3.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/253750792.jpg?k=ba59971b1b9317d069c35f13b438df103ba53ea7bf03dd8295bc4357b1e5a326&o=
274,Apartment,9.7,9,28 Křižíkova,cz,Prague 8,3,2.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/370240395.jpg?k=f9a6403c5e7324ffbdc1e04abaee968760ea51f64257370ff5a5ac18743602d8&o=
275,other,9.6,7924,Dlouhá 48/721,cz,Prague 1,3,0.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/282683013.jpg?k=ce165944072892cda7dd2082f148f598756b4358353367046805cb740e51a47d&o=
276,Residence,0.0,2122,U Výstaviště 764/13,cz,Prague 7,3,2.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/15739333.jpg?k=258d18d458ec0fda8e1eee8f06a395f315e22eb690c76d9b4a4c55ad6ee444b4&o=
277,Hotel,0.0,3776,Gregorova 2115/10,cz,Prague 11,3,7.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/175307128.jpg?k=beaa34045a18a11f6735e43b0a73b5ad4b7a6021f04c75027ae1664ff1e73b97&o=
278,Apartment,10.0,5,Příběnická,cz,Prague 3,3,1.5,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/412014013.jpg?k=210c803ee694c91824a53835236510b49a5d5f0da9278f825046db3f6d0e6335&o=
279,Apartment,0.0,1,Opletalova 30,cz,Prague 1,4,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/401224173.jpg?k=d9097e1007223dbf110d7d42756e8373b850b79d4229618031943163488048d3&o=
280,Residence,9.9,925,Mostecka 11,cz,Prague 1,4,1.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/291067864.jpg?k=85208eed0f9588ed83a44bb882aeb9fcbf99294aa639e8db030e7978cc2380b5&o=
281,Apartment,9.8,15,8 Opletalova,cz,Prague 1,3,0.9,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/310811625.jpg?k=2057c73c95d5468793f68d51291f9373a5752ec1879146bf0bc6f1866affbdce&o=
282,Apartment,9.6,74,Čelakovského sady 434/8,cz,Prague 1,0,1.3,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/176930620.jpg?k=a012c24615050639a152a2471335fa0b161a39df368f965c5eb947ab0ed815c8&o=
283,other,9.5,19,39 Lublaňská,cz,Prague 2,4,1.8,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/158373228.jpg?k=41d0616069c4a6f74169ba512526dfb8d7c7ed68d74099f15a5d8de38c42e45f&o=
284,Hotel,0.0,1957,Mukařovská 1740,cz,Prague,3,6.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/303700548.jpg?k=2b706f92197f0ea247ea86a038167c495e74b07795564e95dca76efe9cd365ec&o=
285,Apartment,0.0,0,20 Melantrichova,cz,Prague 1,0,0.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/421645558.jpg?k=286300af279f6a1575c8a1917591040a8cf6983b62289ee817c884a435e2af52&o=
286,Apartment,9.8,37,30 Opletalova,cz,Prague 1,3,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/289713366.jpg?k=02f543f4195a997866292caf989058f8af0e07ccd8602f9a01fbd31b3f53ff50&o=
287,Apartment,9.9,87,Valentinská 11,cz,Prague 1,4,0.35,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/85191992.jpg?k=e8878215cdc0158c8c85db43752064007304a1b94eeb040c64acb5783204aacf&o=
289,Apartment,9.3,7, K Trninám 967/25,cz,Prague 6,3,7.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/322455724.jpg?k=ced37f83136868274e0b39a173ef4de7675f6cea035948a0dde631d5c1b4bdbe&o=
291,Hotel,0.0,1858,Za Elektrárnou 3,cz,Prague 7,4,2.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/418164059.jpg?k=12e4c4b33bb1968046f294ac5db99591b015c676f12c2ed6ab20e3c17bf7766d&o=
292,Residence,0.0,19,2 Kmochova,cz,Prague 5,0,2.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/324128017.jpg?k=03be353160dd4bcb3fad4ae80cad74b7c15e9e19f39da7db464ea78f0e8eb854&o=
293,Hotel,9.7,1576,Na Prikope 13,cz,Prague 1,4,0.35,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/164429181.jpg?k=96bb9df3b1da0bdd64f19a88332d4d1bf899f856a0b0c0022bb59383fbbea379&o=
294,Residence,9.7,708,48 Václavské náměstí,cz,Prague 1,4,0.8,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/421847003.jpg?k=09e9be17d5f11a11a482cf675b4ac21855a30505578694b40cdbde1b48269210&o=
295,Apartment,0.0,4,9 Újezd,cz,Prague 5,3,1.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/309284499.jpg?k=01eab50ebcfc1da064580932a998130bcea7fdde4ab9a05c739690fcf563d2a0&o=
296,other,10.0,3,Krásova Být 21 podlaží 5,cz,Prague 3,0,1.8,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/415363698.jpg?k=d9b7f653d783610078922ede3e3119eddc6fef70a8505c567943d2f0dd5fd70c&o=
297,other,0.0,2,Na Míčánkách 465/3 A,cz,Prague,3,3.5,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/417352580.jpg?k=2d33fd03841d09e12b3eb4f6cc4a8fa6999a80e80b3651a2d170c56217c8376d&o=
298,other,0.0,8,23 Na Bělidle,cz,Prague 5,0,0.002,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/179271432.jpg?k=d8fbd713120520bc7fa417acc0536b9df4b15d9edc1633167bc638be32e0ad78&o=
299,Apartment,9.9,23,Mezibranská 9,cz,Prague 1,3,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/190045843.jpg?k=b96daee3a94f9b35e837933381572ce22e816f848bd395fa17c90971d1b93ec8&o=
300,other,9.4,1441,V Celnici 7,cz,Prague 1,5,0.8,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/375161557.jpg?k=7b6ad58a613fb23a9875c71ff39bba0efb85cc900b9c540b5681b990d61d292b&o=
301,other,9.3,591,3 Jugoslávská,cz,Prague 2,4,1.5,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/181513905.jpg?k=1f1b829f87b4551e63e4366c5b9b7a699942703218dee09605eb13fdd5c780f6&o=
302,Hotel,0.0,2578,28 Žitná,cz,Prague 1,4,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/205341180.jpg?k=4dd7a95cc2867cc205fc7c1210e2a798eef1a1403f1f38623b9e26f78c9abcb4&o=
303,Hotel,9.5,790,Vaclavske namesti 45/818,cz,Prague 1,5,0.9,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/26645816.jpg?k=294235a93464a974933d407134a045ea476cb9549a83e439c17e3efd6c83b336&o=
304,Hotel,9.6,430,Nerudova 43,cz,Prague 1,4,1.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/88720865.jpg?k=ccb794f3104f895e3cb84c07aef92a9902715f8a61b5e214bc9d385c52edc333&o=
305,Maison,0.0,1839,Na Rybníčku 5,cz,Prague 2,4,1.3,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/229266982.jpg?k=22bc788b93369b6058d1b9f08e900de458b4ad28aa5fa976ee52964f433e4855&o=
306,Apartment,9.6,513,Myslíkova 22,cz,Prague 1,4,1.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/290930880.jpg?k=fa50efde6e167f772515626e90a2e29d03f3db40e397f676a8f1e300ae43a339&o=
307,Hotel,9.6,732,Vaclavske namesti 26,cz,Prague 1,4,0.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/96897274.jpg?k=592e21d6870ac81d7f7cc4d702b32c37b0b26b22a12904ff557c70f77297b6a6&o=
308,Residence,9.9,632,Jilská 20,cz,Prague 1,3,0.2,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/183552465.jpg?k=23be38555ea89bc14c4d92f20e06b1adfe08c776988541ed066662460f77732a&o=
309,Hotel,9.3,1512,Řeznická 4,cz,Prague 1,3,0.001,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/47587879.jpg?k=b6908b3143a60a1a2d18b20df02294a61f5150e70d8ee6157cd04d873e89300b&o=
310,Hotel,9.7,1391,Týn 644/10,cz,Prague 1,4,0.25,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/123796224.jpg?k=213819454b1a00b0d40f95a33eb7ba3594a698d98de25efb4025d2f1372e633b&o=
311,Hotel,9.8,650,Karoliny Svetle 34,cz,Prague 1,5,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/389407546.jpg?k=e65a9aaeafec5ec49e5e91ee7ee647f4c9a3ab47d2153b03798fccbda42ea157&o=
312,Apartment,0.0,6,35 Pštrossova,cz,Prague 1,4,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/118282882.jpg?k=11bcdc5680221029d980aa793c0dee532132711fc21af09c0dbd4862674190e5&o=
313,other,0.0,728,24 Anglická,cz,Prague 2,4,1.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/196391335.jpg?k=c996127afb9e88e41f976d5b2ed635ce5d97dbf2bced35032685b4eae2f05651&o=
314,Hotel,0.0,1035,Hybernska 42,cz,Prague 1,5,1.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/43317571.jpg?k=4c9bace23ac2a36cf4269f8661ce83df5d06b43b105da732f222167be9340109&o=
315,Apartment,9.6,714,Rybna 650/3,cz,Prague 1,4,0.35,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/421852356.jpg?k=fb0cfa3396685ecf66a0979c66b15f8d103d7cdded4a5cf60821867103ed4f7b&o=
316,Apartment,0.0,1371,Štefánikova 25,cz,Prague 5,3,1.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/7887541.jpg?k=df6d2a6f0035754a0d7bfa3369d531d59ca5bff63f8fb0d42615f9b3fc8dd1a2&o=
317,Apartment,9.8,100,Karoliny Svetle 4,cz,Prague 1,4,0.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/56853584.jpg?k=bd66a3abc98b365d98a3a8ddc7f2c3526170f761221191f45f97636e20fb6a25&o=
318,Hotel,9.5,798,Nerudova 42,cz,Prague 1,4,1.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/291508793.jpg?k=9bc6cb068ea3bea3585f6a5de31922b12c97ae870f4878ad035f55ee99f73c9a&o=
319,Hotel,9.3,1436,Opletalova 21,cz,Prague 1,5,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/394797909.jpg?k=2501434897e3b5b05509efb66f0bbb5269b49ac450c87a87674f9422acdcd3ed&o=
320,Apartment,9.9,22,8 Šeříková 3,cz,Prague 1,3,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/249497655.jpg?k=858f1764e224152cc1eea0b150526cad576dd57c74ab2ece79a92e75633cd727&o=
321,other,9.9,779,Seminarska 4,cz,Prague 1,4,0.3,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/134738389.jpg?k=c7b9f77868f942db9518cc7dde237f253e342819f148d155f43c0d4b3bdeb282&o=
322,Hotel,9.4,834,Strahovska 128,cz,Prague 1,4,2.4,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/8517305.jpg?k=adad18169ea4992abf11e1c85149e6eb990f6687f0825cabea51da7a8cc55470&o=
323,Hotel,0.0,489,24 Legerova 1853/24,cz,Prague 2,4,1.9,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/305505688.jpg?k=d6772ca5356c634f0c2a6dd52408091122d227d7c0d3bd34c066373026ea725a&o=
324,other,9.4,2762,23 Ve Smeckach,cz,Prague 1,4,0.001,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/198930527.jpg?k=ebe71a78020630682c747b660fe7429c60f8959bc53c8114edb3530781990d6f&o=
325,Apartment,9.9,37,Jindřišská 25,cz,Prague 1,3,0.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/113984996.jpg?k=0a467ba7a135a2af3cce1ba3fb97b03bd912fad8936333fa92d7dd6add2bd15d&o=
326,Hotel,9.5,2976,Vaclavske Namesti 43,cz,Prague 1,4,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/59619501.jpg?k=960362d4b4fab6f39dfe188a6afbb4b006d7f9a5bece35159d8347988e39d27b&o=
327,Apartment,10.0,13,42 Karlova,cz,Prague 1,4,0.25,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/246179842.jpg?k=ad95bceea7f192afaa1c07f4ec9ccead9b4b957800cc919009311cb008e51d9e&o=
328,Hotel,9.9,1166,Jungmannovo namesti 2,cz,Prague 1,4,0.45,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/40532922.jpg?k=8949ae59985dbd99ebd751670d390b37bc63e7c82d02ae46bbec20f91558d384&o=
329,Apartment,9.3,655,Nádražní 114,cz,Prague 5,3,2.1,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/47123592.jpg?k=b06ba4e4a4356828d9efcd839bd2ada89bcccf3d749faa84df4e4233cf5fe591&o=
330,Residence,9.8,318,23 Celetna,cz,Prague 1,4,0.3,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/177217312.jpg?k=7c8c46217b88f4f011315686275adda4b5ae2a731199b187d348e49fa9c1b68e&o=
331,other,9.4,792,Opletalova 1683/41,cz,Prague 1,4,0.9,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/280103872.jpg?k=8280e94cc39357fecc798faaf3889d8416b425180d8eb0b284ba626e12230b0b&o=
332,Hotel,9.9,1178,Dražického Náměstí 6-9,cz,Prague 1,4,0.001,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/47109778.jpg?k=b5a91d477bbab4bd828922dfd9f931e7cab6c95e1b56950455c8e2334c112c7d&o=
333,Hotel,9.8,1094,U Lužického Semináře 30,cz,Prague 1,4,0.8,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/58674381.jpg?k=21545d23ee2034cad1ade95fe24c0fc3cd614fdbb7707c57a41931423c682104&o=
334,Hotel,0.0,626,Slezská 832/55,cz,Prague 3,4,2.6,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/419015134.jpg?k=8aa268fa59f7e3bdd7f31353d71ba4a43d5647cb41754cb8315373c9de4940a0&o=
335,Apartment,9.9,35,Bílkova 10,cz,Prague 1,4,0.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/131204099.jpg?k=e4dbde0baaa9072d2dce8c394f09a9b562b818cc85a2c3571f0b38bd7c291242&o=
336,other,0.0,2281,Senovazne Namesti 13,cz,Prague 1,5,0.9,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/387332213.jpg?k=ec18b61a672d35736fef32735e28d7a42363d6c28464938d9d266f67aeae22df&o=
337,Hotel,9.7,1926,Jilska 9,cz,Prague 1,3,0.2,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/325640005.jpg?k=ba4b0d2697b80e1cbc42123b8de96d1de52b01c743a16ea5f7aa59b641d9a09f&o=
338,Hotel,9.6,762,Na Poříčí 7,cz,Prague 1,4,0.8,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/106873464.jpg?k=c0fd76f173015fe9fa4dc4cca40f82a2a7728114edf6c506b2515a680ffafb13&o=
339,Hotel,9.7,2887,Na Perstyne 5,cz,Prague 1,3,0.5,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/250453964.jpg?k=d15f9dd18776c37c20b7116dea339bc662629e935c2d0bd351a643020edcb21d&o=
340,Hotel,9.3,507,Budečská 17,cz,Prague 2,3,0.002,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/379514078.jpg?k=47cc4a7434c1a9988de9346d593c07894607bdb6e6ea91921c1324eec5dfe0a1&o=
341,other,9.6,1985,Nerudova 48,cz,Prague 1,4,1.7,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/68724324.jpg?k=18d1701febb12f269945aadb0360ade010e65bb6bf731151a882534ba638d308&o=
342,Hotel,0.0,692,Americka 9,cz,Prague 2,3,2.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/259744379.jpg?k=4362b03d4901ea5a186fdb580005e8ccf80d2191f884567d9dbad971596fd75a&o=
